# Physical settings:
#    board_num  : 0
#    num_chan   : 3
#    Comment1   : Battery is 1.5V
#    Comment2   : FG V_pp is 4V changed to 2V
#
Time (s),CH0,CH1,CH2
0.0,0.9802207253233064,0.0009424187010154128,-1.620039802219253
0.0001,0.9808458630868699,0.000629849819233641,-1.620039802219253
0.0002,0.9805332942050882,0.0009424187010154128,-1.620039802219253
0.0003,0.9805332942050882,0.0009424187010154128,-1.620039802219253
0.0004,0.9808458630868699,0.0009424187010154128,-1.6203523711010348
0.0005,0.9811584319686517,0.0012549875827971846,-1.6203523711010348
0.0006,0.9811584319686517,0.0009424187010154128,-1.620039802219253
0.0007,0.9814710008504335,0.0009424187010154128,-1.6203523711010348
0.0008,0.9814710008504335,0.0009424187010154128,-1.620039802219253
0.0009,0.9817835697322153,0.0012549875827971846,-1.620039802219253
0.001,0.9817835697322153,0.0009424187010154128,-1.620039802219253
0.0011,0.9817835697322153,0.0009424187010154128,-1.620039802219253
0.0012,0.9824087074957788,0.0009424187010154128,-1.620039802219253
0.0013,0.982096138613997,0.0009424187010154128,-1.620039802219253
0.0014,0.982096138613997,0.0009424187010154128,-1.620039802219253
0.0015,0.982096138613997,0.0012549875827971846,-1.6203523711010348
0.0016,0.9824087074957788,0.0009424187010154128,-1.6203523711010348
0.0017,0.9827212763775606,0.0012549875827971846,-1.620039802219253
0.0018,0.9827212763775606,0.0012549875827971846,-1.620039802219253
0.0019,0.9827212763775606,0.0012549875827971846,-1.620039802219253
0.002,0.9827212763775606,0.0012549875827971846,-1.6203523711010348
0.0021,0.9830338452593423,0.0012549875827971846,-1.620039802219253
0.0022,0.9836589830229059,0.0012549875827971846,-1.620039802219253
0.0023,0.9836589830229059,0.0012549875827971846,-1.620039802219253
0.0024,0.9836589830229059,0.0012549875827971846,-1.6203523711010348
0.0025,0.9839715519046877,0.0012549875827971846,-1.620039802219253
0.0026,0.9839715519046877,0.0012549875827971846,-1.620039802219253
0.0027,0.9839715519046877,0.0012549875827971846,-1.6203523711010348
0.0028,0.9842841207864694,0.0015675564645789564,-1.6203523711010348
0.0029,0.9842841207864694,0.0012549875827971846,-1.6203523711010348
0.003,0.9842841207864694,0.0012549875827971846,-1.6203523711010348
0.0031,0.9845966896682512,0.0012549875827971846,-1.6203523711010348
0.0032,0.984909258550033,0.0009424187010154128,-1.6203523711010348
0.0033,0.9845966896682512,0.0012549875827971846,-1.620039802219253
0.0034,0.9852218274318147,0.0009424187010154128,-1.6203523711010348
0.0035,0.984909258550033,0.0009424187010154128,-1.620039802219253
0.0036,0.984909258550033,0.0012549875827971846,-1.620039802219253
0.0037,0.9855343963135965,0.0009424187010154128,-1.620039802219253
0.0038,0.9855343963135965,0.000629849819233641,-1.6203523711010348
0.0039,0.9855343963135965,0.0012549875827971846,-1.6203523711010348
0.004,0.9855343963135965,0.0009424187010154128,-1.620039802219253
0.0041,0.9858469651953783,0.0012549875827971846,-1.620039802219253
0.0042,0.9858469651953783,0.0012549875827971846,-1.620039802219253
0.0043,0.9858469651953783,0.0012549875827971846,-1.6203523711010348
0.0044,0.9861595340771601,0.0012549875827971846,-1.6203523711010348
0.0045,0.9864721029589418,0.0012549875827971846,-1.6203523711010348
0.0046,0.9858469651953783,0.0012549875827971846,-1.620039802219253
0.0047,0.9858469651953783,0.0012549875827971846,-1.620039802219253
0.0048,0.9867846718407236,0.0012549875827971846,-1.620039802219253
0.0049,0.9864721029589418,0.0012549875827971846,-1.620039802219253
0.005,0.9867846718407236,0.0009424187010154128,-1.620039802219253
0.0051,0.9867846718407236,0.0012549875827971846,-1.620039802219253
0.0052,0.9870972407225054,0.0009424187010154128,-1.6203523711010348
0.0053,0.9870972407225054,0.0012549875827971846,-1.620039802219253
0.0054,0.9874098096042871,0.0009424187010154128,-1.6203523711010348
0.0055,0.9874098096042871,0.0009424187010154128,-1.620039802219253
0.0056,0.9874098096042871,0.000629849819233641,-1.6203523711010348
0.0057,0.9877223784860689,0.0009424187010154128,-1.6203523711010348
0.0058,0.9880349473678507,0.0009424187010154128,-1.6203523711010348
0.0059,0.9880349473678507,0.0009424187010154128,-1.620039802219253
0.006,0.9880349473678507,0.0012549875827971846,-1.620039802219253
0.0061,0.9880349473678507,0.0012549875827971846,-1.620039802219253
0.0062,0.9880349473678507,0.0009424187010154128,-1.620039802219253
0.0063,0.9883475162496325,0.0012549875827971846,-1.620039802219253
0.0064,0.9883475162496325,0.0009424187010154128,-1.620039802219253
0.0065,0.9886600851314142,0.0009424187010154128,-1.620039802219253
0.0066,0.9886600851314142,0.0009424187010154128,-1.620039802219253
0.0067,0.988972654013196,0.0012549875827971846,-1.620039802219253
0.0068,0.9886600851314142,0.0012549875827971846,-1.620039802219253
0.0069,0.9886600851314142,0.0009424187010154128,-1.620039802219253
0.007,0.9886600851314142,0.0012549875827971846,-1.620039802219253
0.0071,0.9895977917767595,0.000629849819233641,-1.6203523711010348
0.0072,0.9892852228949778,0.0012549875827971846,-1.620039802219253
0.0073,0.9895977917767595,0.0012549875827971846,-1.620039802219253
0.0074,0.9895977917767595,0.0009424187010154128,-1.620039802219253
0.0075,0.9895977917767595,0.0009424187010154128,-1.620039802219253
0.0076,0.9895977917767595,0.0009424187010154128,-1.620039802219253
0.0077,0.9902229295403231,0.0009424187010154128,-1.620039802219253
0.0078,0.9899103606585413,0.0012549875827971846,-1.620039802219253
0.0079,0.9899103606585413,0.0009424187010154128,-1.6203523711010348
0.008,0.9902229295403231,0.0009424187010154128,-1.6203523711010348
0.0081,0.9902229295403231,0.0012549875827971846,-1.620039802219253
0.0082,0.9902229295403231,0.0012549875827971846,-1.620039802219253
0.0083,0.9905354984221049,0.0012549875827971846,-1.6203523711010348
0.0084,0.9908480673038866,0.0012549875827971846,-1.620039802219253
0.0085,0.9905354984221049,0.0009424187010154128,-1.620039802219253
0.0086,0.9911606361856684,0.0009424187010154128,-1.6203523711010348
0.0087,0.9911606361856684,0.0009424187010154128,-1.6203523711010348
0.0088,0.9908480673038866,0.0012549875827971846,-1.620039802219253
0.0089,0.9914732050674502,0.0012549875827971846,-1.620039802219253
0.009,0.9914732050674502,0.0012549875827971846,-1.6203523711010348
0.0091,0.9914732050674502,0.0012549875827971846,-1.620039802219253
0.0092,0.9914732050674502,0.0012549875827971846,-1.6203523711010348
0.0093,0.991785773949232,0.0012549875827971846,-1.6203523711010348
0.0094,0.991785773949232,0.0009424187010154128,-1.6203523711010348
0.0095,0.9920983428310137,0.0012549875827971846,-1.620039802219253
0.0096,0.9920983428310137,0.0009424187010154128,-1.620039802219253
0.0097,0.9920983428310137,0.0012549875827971846,-1.6203523711010348
